,掛牌日期,幣別,現金買入,現金買入,即期買入,即期賣出
0,2020/04/30,日圓 (JPY),0.2697,0.2825,0.27699999999999997,0.281
1,2020/04/29,日圓 (JPY),0.2719,0.2847,0.2792,0.2832
2,2020/04/28,日圓 (JPY),0.2708,0.2836,0.2781,0.2821
3,2020/04/27,日圓 (JPY),0.2706,0.2834,0.2779,0.2819
4,2020/04/24,日圓 (JPY),0.2697,0.2825,0.27699999999999997,0.281
5,2020/04/23,日圓 (JPY),0.2701,0.2829,0.2774,0.2814
6,2020/04/22,日圓 (JPY),0.27,0.2828,0.2773,0.2813
7,2020/04/21,日圓 (JPY),0.2706,0.2834,0.2779,0.2819
8,2020/04/20,日圓 (JPY),0.2696,0.2824,0.2769,0.2809
9,2020/04/17,日圓 (JPY),0.2696,0.2824,0.2769,0.2809
10,2020/04/16,日圓 (JPY),0.2696,0.2824,0.2769,0.2809
11,2020/04/15,日圓 (JPY),0.2704,0.2832,0.2777,0.2817
12,2020/04/14,日圓 (JPY),0.2697,0.2825,0.27699999999999997,0.281
13,2020/04/13,日圓 (JPY),0.2695,0.2823,0.2768,0.2808
14,2020/04/10,日圓 (JPY),0.2682,0.281,0.2755,0.2795
15,2020/04/09,日圓 (JPY),0.2669,0.2797,0.2742,0.2782
16,2020/04/08,日圓 (JPY),0.2675,0.2803,0.2748,0.2788
17,2020/04/07,日圓 (JPY),0.2671,0.2799,0.2744,0.2784
18,2020/04/06,日圓 (JPY),0.2672,0.28,0.2745,0.2785
19,2020/04/01,日圓 (JPY),0.2719,0.2847,0.2792,0.2832
20,2020/03/31,日圓 (JPY),0.2695,0.2823,0.2768,0.2808
21,2020/03/30,日圓 (JPY),0.2705,0.2833,0.2778,0.2818
22,2020/03/27,日圓 (JPY),0.2682,0.281,0.2755,0.2795
23,2020/03/26,日圓 (JPY),0.2648,0.2776,0.2721,0.2761
24,2020/03/25,日圓 (JPY),0.2626,0.2754,0.2699,0.2739
25,2020/03/24,日圓 (JPY),0.2647,0.2775,0.272,0.276
26,2020/03/23,日圓 (JPY),0.2663,0.2791,0.2736,0.2776
27,2020/03/20,日圓 (JPY),0.2667,0.2795,0.27399999999999997,0.278
28,2020/03/19,日圓 (JPY),0.2697,0.2825,0.27699999999999997,0.281
29,2020/03/18,日圓 (JPY),0.2723,0.2851,0.2796,0.2836
30,2020/03/17,日圓 (JPY),0.2732,0.28600000000000003,0.2805,0.2845
31,2020/03/16,日圓 (JPY),0.2737,0.2865,0.281,0.285
32,2020/03/13,日圓 (JPY),0.2753,0.2881,0.2826,0.2866
33,2020/03/12,日圓 (JPY),0.2809,0.2937,0.2882,0.2922
34,2020/03/11,日圓 (JPY),0.27699999999999997,0.2898,0.2843,0.2883
35,2020/03/10,日圓 (JPY),0.2797,0.2925,0.287,0.29100000000000004
36,2020/03/09,日圓 (JPY),0.285,0.2978,0.2923,0.2963
37,2020/03/06,日圓 (JPY),0.2741,0.2869,0.2814,0.2854
38,2020/03/05,日圓 (JPY),0.2695,0.2823,0.2768,0.2808
39,2020/03/04,日圓 (JPY),0.2699,0.2827,0.2772,0.2812
40,2020/03/03,日圓 (JPY),0.2687,0.2815,0.276,0.28
41,2020/03/02,日圓 (JPY),0.2682,0.281,0.2755,0.2795
42,2020/02/27,日圓 (JPY),0.2655,0.2783,0.2728,0.2768
43,2020/02/26,日圓 (JPY),0.2656,0.2784,0.2729,0.2769
44,2020/02/25,日圓 (JPY),0.2648,0.2776,0.2721,0.2761
45,2020/02/24,日圓 (JPY),0.2637,0.2765,0.271,0.275
46,2020/02/21,日圓 (JPY),0.2628,0.2756,0.2701,0.2741
47,2020/02/20,日圓 (JPY),0.2615,0.2743,0.2688,0.2728
48,2020/02/19,日圓 (JPY),0.2641,0.2769,0.2714,0.2754
49,2020/02/18,日圓 (JPY),0.2651,0.2779,0.2724,0.2764
50,2020/02/17,日圓 (JPY),0.2638,0.2766,0.2711,0.2751
51,2020/02/15,日圓 (JPY),0.2641,0.2769,0.2714,0.2754
52,2020/02/14,日圓 (JPY),0.2641,0.2769,0.2714,0.2754
53,2020/02/13,日圓 (JPY),0.264,0.2768,0.2713,0.2753
54,2020/02/12,日圓 (JPY),0.2637,0.2765,0.271,0.275
55,2020/02/11,日圓 (JPY),0.264,0.2768,0.2713,0.2753
56,2020/02/10,日圓 (JPY),0.2644,0.2772,0.2717,0.2757
57,2020/02/07,日圓 (JPY),0.2646,0.2774,0.2719,0.2759
58,2020/02/06,日圓 (JPY),0.2641,0.2769,0.2714,0.2754
59,2020/02/05,日圓 (JPY),0.266,0.2788,0.2733,0.2773
60,2020/02/04,日圓 (JPY),0.2675,0.2803,0.2748,0.2788
61,2020/02/03,日圓 (JPY),0.2693,0.2821,0.2766,0.2806
